"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Area total","num Area rptg","over votes","under votes"
428,"District 2B District Judge Adria Kester (Vote For 1)","Yes","",66519,77.06,208872,132063,13,13,"0","0"
429,"District 2B District Judge Adria Kester (Vote For 1)","No","",19800,22.94,208872,132063,13,13,"0","0"
430,"District 2B District Judge Steven J. Oeth (Vote For 1)","Yes","",65047,75.47,208872,132063,13,13,"0","0"
431,"District 2B District Judge Steven J. Oeth (Vote For 1)","No","",21147,24.53,208872,132063,13,13,"0","0"
432,"District 2B District Judge Kurt John Stoebe (Vote For 1)","Yes","",66258,76.04,208872,132063,13,13,"0","0"
433,"District 2B District Judge Kurt John Stoebe (Vote For 1)","No","",20872,23.96,208872,132063,13,13,"0","0"
434,"District 2B District Judge Kurt L. Wilke (Vote For 1)","Yes","",67186,76.70,208872,132063,13,13,"0","0"
435,"District 2B District Judge Kurt L. Wilke (Vote For 1)","No","",20408,23.30,208872,132063,13,13,"0","0"
436,"District 3A District Judge David A. Lester (Vote For 1)","Yes","",32278,80.70,75780,56299,10,10,"0","0"
437,"District 3A District Judge David A. Lester (Vote For 1)","No","",7719,19.30,75780,56299,10,10,"0","0"
438,"District 3A District Judge Nancy L. Whittenburg (Vote For 1)","Yes","",32559,79.62,75780,56299,10,10,"0","0"
439,"District 3A District Judge Nancy L. Whittenburg (Vote For 1)","No","",8335,20.38,75780,56299,10,10,"0","0"
440,"District 3B District Judge Jeffrey L. Poulson (Vote For 1)","Yes","",39782,78.72,59302,73843,6,6,"0","0"
441,"District 3B District Judge Jeffrey L. Poulson (Vote For 1)","No","",10753,21.28,59302,73843,6,6,"0","0"
